,stromal cell,epithelial cell,hematopoietic precursor cell,hematopoietic stem cell,pancreatic acinar cell,basal cell,T cell,neutrophil,myeloid leukocyte,fibroblast of cardiac tissue,mesenchymal stem cell of adipose tissue,plasma cell,mesenchymal stem cell,"CD4-positive, alpha-beta T cell",macrophage,B cell,classical monocyte,luminal epithelial cell of mammary gland,large intestine goblet cell,enterocyte of epithelium of large intestine,myeloid dendritic cell,natural killer cell,monocyte,intermediate monocyte,mature NK T cell,adventitial cell,granulocyte,fibroblast,bladder urothelial cell,pancreatic ductal cell,smooth muscle cell,hepatocyte,endothelial cell,non-classical monocyte,"CD8-positive, alpha-beta T cell"
monocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.023,0.391,0.555,0.0,0.892,0.958,0.966,0.938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
intermediate monocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.085,0.108,0.0,0.802,0.899,0.853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mature NK T cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.014,0.042,0.198,0.0,0.764,0.757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adventitial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.014,0.034,0.101,0.236,0.0,0.606,0.983,0.998,1.0,1.0,1.0,1.0,1.0,1.0
granulocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.047,0.054,0.062,0.147,0.243,0.394,0.0,0.835,0.899,0.998,0.994,1.0,1.0,1.0,1.0
fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.165,0.0,0.689,1.0,1.0,1.0,1.0,1.0,1.0
bladder urothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.101,0.311,0.0,1.0,1.0,1.0,1.0,1.0,1.0
pancreatic ductal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.629,1.0,1.0,1.0,1.0
smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.371,0.0,0.998,1.0,1.0,1.0
hepatocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.651,0.766,0.998
endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.0,0.647,1.0
non-classical monocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.353,0.0,0.995
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.005,0.0
