draw_id,ratio,n_conserved,n_valid,q75,distance,null_median,n_fixed_points
0,0.9846514529369802,3985,15940,0.10628225494833582,47.706173459281565,48.4498076116025,0
1,0.9970179890050335,3985,15940,0.09646190535755236,68.87977819469661,69.08579278838756,0
2,0.9827400940747412,3985,15940,0.09797786938609758,39.55925914253849,40.25404008756139,0
3,0.9807073643269631,3985,15940,0.08201065896157099,66.34582531904385,67.65099124607417,1
4,0.9832828685936116,3985,15940,0.10149261717643007,66.0574082426361,67.18047303836173,0
5,0.9960549472939024,3985,15940,0.10037965243105047,68.2773727356035,68.54779740926998,1
6,1.0009438671330424,3985,15940,0.051581144120148394,63.2095001761433,63.14989506573568,0
7,0.9766565307644378,3985,15940,0.1684561731201378,58.752970897911005,60.15724980810248,3
8,0.977786187347162,3985,15940,0.08870501555047165,48.89365218062558,50.004441475369234,1
9,0.9765092730844931,3985,15940,0.0793085748262434,51.788619385716274,53.034436859090874,0
10,0.9951431673735526,3985,15940,0.087630680350177,57.42398123202889,57.70424107275544,0
11,0.9944044302856649,3985,15940,0.07971487195418442,55.04461666679723,55.35435582380142,1
12,0.995449697529405,3985,15940,0.0607830437444705,47.36355771577484,47.58006138665359,0
13,0.9640422124384597,3985,15940,0.12657499313023485,63.644752059082386,66.01863615297364,1
14,1.002988127917341,3985,15940,0.047358382668102134,55.17838065221676,55.01399180745254,0
15,0.9920466479765158,3985,15940,0.05590562107069711,63.45954086455117,63.968303299033394,1
16,0.9981861313936519,3985,15940,0.12941436242856047,54.19723015776788,54.29571545148454,4
17,1.0053014103098241,3985,15940,0.07526926435224385,68.30011138510406,67.93993391897723,2
18,1.0081156069781485,3985,15940,0.06677763937725989,54.749299254418865,54.308552387688195,1
19,0.976229694304335,3985,15940,0.1035482487869738,69.4255304602886,71.11597902147557,0
20,0.956415238356176,3985,15940,0.10577961166726521,58.392384690090175,61.05338178263574,1
21,0.9946584064872076,3985,15940,0.0746206790020558,60.352008779920205,60.67611592713804,1
22,1.0222390458518107,3985,15940,0.05177721348698037,57.98176492883453,56.72035828030764,0
23,0.9625012314484324,3985,15940,0.11143400463620833,65.88798012592456,68.45495670355889,1
24,0.9662788154840699,3985,15940,0.11327021356710383,61.875454567822715,64.03478331130069,2
25,0.9981738044989015,3985,15940,0.07454811101286463,47.489572591031546,47.57645650185344,1
26,0.9842965953344063,3985,15940,0.052344084113451636,63.98663919428915,65.00747792645797,1
27,0.959639816302669,3985,15940,0.0646636752809128,61.926050909109605,64.53051432119634,1
28,0.9939459760065067,3985,15940,0.07182720601188458,56.95999070202293,57.30692822046301,3
29,0.9901812461035433,3985,15940,0.07435637487370589,58.542767054069614,59.12328402950564,2
30,1.001422632202769,3985,15940,0.07760554548600564,59.04945047393353,58.96556416350009,1
31,1.0021583289680502,3985,15940,0.045922342823001706,57.44129738776088,57.31758717897376,1
32,0.9879534251801867,3985,15940,0.15608265359935553,47.54178942814169,48.121488540282996,2
33,0.9659860186737441,3985,15940,0.108338940968116,70.64187802938251,73.12929655687012,3
34,0.9986616915590841,3985,15940,0.06810355106085642,66.10271667923966,66.19130105615832,1
35,0.9731318972665411,3985,15940,0.06707459512871664,54.58030865736941,56.08726711217837,1
36,1.0139132664064407,3985,15940,0.04878361262500944,65.31532994830586,64.419050536541,0
37,0.9945754645880909,3985,15940,0.04615982685141278,50.28303207919024,50.557281844887704,0
38,0.9967760249990004,3985,15940,0.0872635364450674,61.73018149844121,61.929841760091605,0
39,0.9852781380932395,3985,15940,0.1017236509901217,68.17878213732453,69.19749814937292,4
40,0.9957465481135429,3985,15940,0.10098832573739344,51.539880181256315,51.76003901685565,0
41,0.9980290623834726,3985,15940,0.11921891206821107,52.614798876222196,52.71870415333258,1
42,0.9854523415554816,3985,15940,0.046631574425586346,59.04910672540477,59.92081426505015,1
43,0.977656268029141,3985,15940,0.06343844664074434,72.25300671529232,73.90430469079617,1
44,0.966473710789973,3985,15940,0.11139433719130126,70.5133404155335,72.95939830365127,3
45,1.0078085965666204,3985,15940,0.014205307856653141,47.86173248693176,47.49089524537301,1
46,0.9782697840898887,3985,15940,0.10937882995720102,65.43557797671983,66.88909239652776,2
47,0.9688911178607603,3985,15940,0.09441717006252799,62.65634382473819,64.66809600141525,1
48,1.0030687255668171,3985,15940,0.06423063162893633,61.98266823214936,61.79304234325919,1
49,1.0395282334903826,3985,15940,0.031661894197052176,62.332120514864286,59.96193129413542,0
50,0.9546304575656233,3985,15940,0.1518384730327953,59.71043936070041,62.548223647678654,2
51,1.0271247389990594,3985,15940,0.07952919383889319,51.82915885889517,50.460432789695105,0
52,0.9726400375141778,3985,15940,0.08307446366487577,67.55077104787851,69.45094633418671,3
53,1.0158988590862992,3985,15940,0.059852783854810555,59.34902083427768,58.42020620798439,0
54,0.9682763068005519,3985,15940,0.09294299006088821,67.20739190465979,69.40931161140489,1
55,0.9952241743883027,3985,15940,0.0364744313163676,54.74691480381087,55.00963120943089,0
56,0.977675415924587,3985,15940,0.09922156399482976,55.26708383184137,56.529071849040335,2
57,0.9446440293438183,3985,15940,0.1529368068558665,64.60342463422583,68.38917372833188,1
58,0.9523519224921201,3985,15940,0.13053266534753252,72.84857854060834,76.49333909042548,0
59,1.0170226511738993,3985,15940,0.08359262917141133,58.62021621616156,57.639046828012255,1
60,0.973421057392056,3985,15940,0.06170516959893112,68.39146964916164,70.25887628976596,1
61,0.9917219684805796,3985,15940,0.11193043156055939,67.65385962585268,68.21857514108049,2
62,0.9863611651238214,3985,15940,0.10515694197723931,56.62487077326423,57.407846917975434,4
