draw_id,ratio,n_conserved,n_valid,q75,distance,null_median,n_fixed_points
0,0.9846514529369802,3985,15940,0.10628225494833582,47.706173459281565,48.4498076116025,0
1,0.9970179890050335,3985,15940,0.09646190535755236,68.87977819469661,69.08579278838756,0
2,0.9827400940747412,3985,15940,0.09797786938609758,39.55925914253849,40.25404008756139,0
3,0.9832828685936116,3985,15940,0.10149261717643007,66.0574082426361,67.18047303836173,0
4,1.0009438671330424,3985,15940,0.051581144120148394,63.2095001761433,63.14989506573568,0
5,0.9765092730844931,3985,15940,0.0793085748262434,51.788619385716274,53.034436859090874,0
6,0.9951431673735526,3985,15940,0.087630680350177,57.42398123202889,57.70424107275544,0
7,0.995449697529405,3985,15940,0.0607830437444705,47.36355771577484,47.58006138665359,0
8,1.002988127917341,3985,15940,0.047358382668102134,55.17838065221676,55.01399180745254,0
9,0.976229694304335,3985,15940,0.1035482487869738,69.4255304602886,71.11597902147557,0
10,1.0222390458518107,3985,15940,0.05177721348698037,57.98176492883453,56.72035828030764,0
11,1.0139132664064407,3985,15940,0.04878361262500944,65.31532994830586,64.419050536541,0
12,0.9945754645880909,3985,15940,0.04615982685141278,50.28303207919024,50.557281844887704,0
13,0.9967760249990004,3985,15940,0.0872635364450674,61.73018149844121,61.929841760091605,0
14,0.9957465481135429,3985,15940,0.10098832573739344,51.539880181256315,51.76003901685565,0
15,1.0395282334903826,3985,15940,0.031661894197052176,62.332120514864286,59.96193129413542,0
16,1.0271247389990594,3985,15940,0.07952919383889319,51.82915885889517,50.460432789695105,0
17,1.0158988590862992,3985,15940,0.059852783854810555,59.34902083427768,58.42020620798439,0
18,0.9952241743883027,3985,15940,0.0364744313163676,54.74691480381087,55.00963120943089,0
19,0.9523519224921201,3985,15940,0.13053266534753252,72.84857854060834,76.49333909042548,0
20,1.016879077568448,3985,15940,0.07924969905686856,58.28210498782465,57.31468595773284,0
21,0.9495518990410837,3985,15940,0.06030559275527382,66.22151711443486,69.73975533228825,0
22,0.945311666688598,3985,15940,0.1583198528205643,65.19757364757888,68.96939490439621,0
23,0.9650451484465843,3985,15940,0.10440870861209514,62.153951040324166,64.40522616001154,0
24,0.9968892587689072,3985,15940,0.04947374300242738,64.09792611860667,64.29794037279868,0
25,0.976241305382641,3985,15940,0.0799573345358758,73.67590415016525,75.46894783486727,0
26,0.9374126908015454,3985,15940,0.0204442989678598,48.45732466001653,51.69262709531118,0
27,1.015776036454163,3985,15940,0.08575966401735555,48.81585963632452,48.057699615290474,0
28,0.997087928015551,3985,15940,0.08389164325828335,64.92944876419295,65.1190802133353,0
29,1.014935154008735,3985,15940,0.06625245917671482,53.13061673960516,52.348779653313585,0
30,0.9844525554152632,3985,15940,0.10266840010433373,57.75363976736675,58.665742142347355,0
31,1.015181556339749,3985,15940,0.07271634607268866,57.366908382870356,56.50901360906076,0
32,0.9791270930406676,3985,15940,0.06847254632839865,66.11766367431831,67.52715162746716,0
33,1.0009869264594646,3985,15940,0.0500255325967083,69.70324896244111,69.63452480741643,0
34,0.9985815296847484,3985,15940,0.06899197418501099,56.615217756856595,56.69563883755188,0
35,0.9823896718896823,3985,15940,0.0842616086414559,49.48141805916116,50.36842250588897,0
36,0.9811334630093359,3985,15940,0.08029569551162123,68.92445569110208,70.24982664407017,0
37,1.035064795755493,3985,15940,0.06053766012097879,45.48273413159016,43.94191969246944,0
38,0.9827820622572836,3985,15940,0.06396628609555857,47.368556308926216,48.19843394386817,0
39,0.9874038129526096,3985,15940,0.06330762489544975,50.478376379158604,51.12232271841684,0
40,1.0068729942049497,3985,15940,0.05622394027319195,60.760331679266066,60.34557687908179,0
41,1.0160771854109516,3985,15940,0.06686293692434558,55.298263061133895,54.42328974128925,0
42,1.006409733571339,3985,15940,0.06661672306383659,60.67242445973911,60.28600721540853,0
43,1.008459631484778,3985,15940,0.07691964339025892,64.43489545819354,63.894372611945386,0
44,1.018043271474716,3985,15940,0.06222465871194903,50.079778991314214,49.19219093582309,0
45,1.0058582741739022,3985,15940,0.08753423816028433,60.05256754956318,59.70281210728574,0
46,1.0002496903408318,3985,15940,0.11283067407569188,48.03077862646649,48.01878879872501,0
47,0.9791819052352583,3985,15940,0.05856428670049861,58.6559650165798,59.90303201373714,0
48,0.9959815943377154,3985,15940,0.07450602949531714,62.332684075215305,62.58417266903796,0
49,0.9925863186079523,3985,15940,0.11516081830637884,70.06676568220458,70.59009817954106,0
50,1.0097943213592895,3985,15940,0.1012188217140426,61.0570105529783,60.464798881805095,0
