subset,n_types,n_pca,variance_explained,distance,ssr,scaling,p_value,significant_001,null_median
All 6 types,6,7,95.90450359092199,12.427310325548715,154.4380419274897,1.0700838826393932,0.0034996500349965005,True,39.25758219423939
5 types (no macrophage),5,6,96.84577092945166,3.650909392162908,13.329139389783334,1.0425173126368987,0.0178982101789821,False,36.478385181730104
"4 types (no macrophage, B cell)",4,5,98.73590440316109,3.040090378722448,9.242149510800795,1.0439283895807792,0.0832916708329167,False,33.487247114542825
