variant,n_types,obs_null_ratio,p_perm,ranking_spearman_vs_primary,spearman_p
A_drop_parents,30,0.521,9.999000099990002e-05,0.9359,3.242977351822851e-14
B_drop_children,26,0.5441,9.999000099990002e-05,0.9111,1.0138712210718768e-10
