iteration,distance,p_value,n_pca_components,runtime_s
0,61.470568828017846,0.000999000999000999,33,0.9111251831054688
1,61.218832424708026,0.000999000999000999,33,1.0984249114990234
2,61.20801514282696,0.000999000999000999,33,1.0896949768066406
3,61.20750339616369,0.000999000999000999,33,0.9408690929412842
4,60.867767149353774,0.000999000999000999,33,0.961317777633667
5,61.39086652970354,0.000999000999000999,33,0.9029772281646729
6,60.868108346778264,0.000999000999000999,33,0.999284029006958
7,61.07332379712957,0.000999000999000999,33,0.9141418933868408
8,61.248073837995946,0.000999000999000999,33,1.079219102859497
9,61.06052770267323,0.000999000999000999,33,1.0938150882720947
10,61.053771056377684,0.000999000999000999,33,0.7800688743591309
11,60.98146996066812,0.000999000999000999,33,0.7664382457733154
12,61.06428648780529,0.000999000999000999,33,0.7695989608764648
13,61.32485389917988,0.000999000999000999,33,0.7657470703125
14,61.33359793285262,0.000999000999000999,33,0.7795779705047607
15,61.57247142262637,0.000999000999000999,33,0.7851262092590332
16,61.38927464339559,0.000999000999000999,33,0.8074686527252197
17,61.061246513423875,0.000999000999000999,33,0.8067018985748291
18,61.19979564740882,0.000999000999000999,33,0.8463468551635742
19,61.57961238821971,0.000999000999000999,33,0.8700406551361084
20,61.05853579404267,0.000999000999000999,33,0.8868868350982666
21,60.84400805266106,0.000999000999000999,33,1.0025489330291748
22,61.445589342734664,0.000999000999000999,33,1.0251328945159912
23,61.463825277100796,0.000999000999000999,33,1.1165900230407715
24,61.04777149016721,0.000999000999000999,33,1.0989439487457275
25,61.539534707023314,0.000999000999000999,33,1.3700330257415771
26,61.20767022103167,0.000999000999000999,33,1.0857999324798584
27,61.08603009919699,0.000999000999000999,33,1.25649094581604
28,60.600111749353935,0.000999000999000999,33,1.2023098468780518
29,61.39087933462955,0.000999000999000999,33,1.182523250579834
30,61.754055008966986,0.000999000999000999,33,1.4199268817901611
31,61.195909823186554,0.000999000999000999,33,0.8446409702301025
32,60.902308088366134,0.000999000999000999,33,0.8111541271209717
33,60.76232781975118,0.000999000999000999,33,0.8158268928527832
34,60.96552887532517,0.000999000999000999,33,0.8050010204315186
35,61.065118788961634,0.000999000999000999,33,0.8137719631195068
36,61.328625166527004,0.000999000999000999,33,0.8116207122802734
37,61.28300155028712,0.000999000999000999,33,0.809330940246582
38,60.811928577418975,0.000999000999000999,33,0.8099861145019531
39,60.92052597990888,0.000999000999000999,33,0.8009259700775146
40,61.43793495436228,0.000999000999000999,33,0.818361759185791
41,61.08308731348076,0.000999000999000999,33,0.8030099868774414
42,60.951636719042845,0.000999000999000999,33,0.8958740234375
43,60.76591028033978,0.000999000999000999,33,1.0223748683929443
44,61.10602711271528,0.000999000999000999,33,1.0107522010803223
45,60.88312800815138,0.000999000999000999,33,0.9985208511352539
46,61.087555551669524,0.000999000999000999,33,1.1121180057525635
47,60.926046926013164,0.000999000999000999,33,1.0462100505828857
48,61.19080989540298,0.000999000999000999,33,1.183840036392212
49,61.102883018003425,0.000999000999000999,33,0.9905259609222412
50,61.38566878864331,0.000999000999000999,33,1.7764286994934082
51,61.09859496757178,0.000999000999000999,33,0.827476978302002
52,61.50315291048481,0.000999000999000999,33,0.8056659698486328
53,61.524316774301305,0.000999000999000999,33,0.810142993927002
54,60.77360754630901,0.000999000999000999,33,0.8137149810791016
55,61.24561264674773,0.000999000999000999,33,0.8108551502227783
56,61.36006126996238,0.000999000999000999,33,0.8066542148590088
57,60.8021826421483,0.000999000999000999,33,0.8050408363342285
