Disease,Condition,Spearman_rho,p_value
Cancer,Original,0.40659340659340654,0.1679783461478964
Cancer,Activation projected out,0.40659340659340654,0.1679783461478964
COVID-19,Original,0.06071428571428571,0.8298120954425187
COVID-19,Activation projected out,0.024999999999999998,0.9295289708192378
