gene_id,gene_symbol,specificity_score,mean_progenitor_residual,mean_differentiated_residual
ENSG00000142694,EVA1B,0.5282826540576951,0.03573137366670821,0.03190547450965818
ENSG00000172464,OR5AP2,0.5282679886230298,1.774967363967708e-05,1.585007880025959e-05
ENSG00000140675,SLC5A2,0.528256857593363,0.0008240354401195008,0.0007358788861679956
ENSG00000137270,GCM1,0.5282561504507616,0.0010884992664269078,0.0009720527318756017
ENSG00000160282,FTCD,0.5282389299832967,0.04542211124142539,0.04056570348260805
ENSG00000135587,SMPD2,0.5282384236731842,0.012780714248554833,0.011414258467898172
ENSG00000142252,GEMIN7,0.5282206068730898,0.02651673708288115,0.02368338146200564
ENSG00000132698,RAB25,0.5281963155998581,0.039486172065004835,0.03527044947666849
ENSG00000116833,NR5A2,0.5281759832184721,0.08914188262826148,0.07963118820519455
ENSG00000127329,PTPRB,0.5281307381169241,0.09291221382413922,0.08301432693245875
ENSG00000171557,FGG,0.5281083921496803,0.09689137113312055,0.08657734963217815
ENSG00000165792,METTL17,0.5281008708997678,0.02031436886427428,0.018152465757041648
ENSG00000208013,MIR652,0.5280887633419206,2.4779612924036765e-05,2.214358378862035e-05
ENSG00000238649,SNORD42A,0.528038335535846,7.036903881324787e-05,6.28959801779175e-05
ENSG00000180205,WFDC9,0.5280178586638679,0.00015805409865620005,0.0001412806606948394
ENSG00000177707,NECTIN3,0.5279153707958032,0.048199766899673355,0.04310230454222248
ENSG00000126246,IGFLR1,0.5279041141178332,0.00933824400226461,0.008351036593453997
ENSG00000088833,NSFL1C,0.5278915411863474,0.03512843241751443,0.031416358845041494
ENSG00000070785,EIF2B3,0.5278839074220175,0.03157401308132283,0.02823840521253689
ENSG00000120029,ARMH3,0.5278777599054504,0.064809358373795,0.0579640624753864
ENSG00000180228,PRKRA,0.5278226726747983,0.02796164459791941,0.0250138072829571
ENSG00000125733,TRIP10,0.5278168242612098,0.03624272228255974,0.032422618829461514
ENSG00000198431,TXNRD1,0.5277638124785823,0.08907252260766943,0.07970093343765988
ENSG00000162639,HENMT1,0.5277452179722704,0.024027462137554044,0.021501064354592272
ENSG00000144063,MALL,0.5276864745248365,0.08053192580868007,0.07208128240590662
ENSG00000152217,SETBP1,0.5276842498113938,0.10995033851705205,0.09841354302072508
ENSG00000170909,OSCAR,0.5276806750656741,0.049285259036757956,0.0441145211060794
ENSG00000101670,LIPG,0.5276479843014781,0.03217355449425925,0.028801859894657465
ENSG00000157625,TAB3,0.5276475754686899,0.016299350710820608,0.014591250267194867
ENSG00000050344,NFE2L3,0.527626778870999,0.04370497551823026,0.03912815060123801
ENSG00000116704,SLC35D1,0.5276049207005674,0.049966364150443976,0.04473776424187153
ENSG00000207779,MIR15B,0.5275945919615684,4.128928691471526e-05,3.697020919043605e-05
ENSG00000051620,HEBP2,0.5275726500255687,0.0888702633208178,0.07958096954068614
ENSG00000164932,CTHRC1,0.5275576820451598,0.02708681443019071,0.024256982375467466
ENSG00000005073,HOXA11,0.5275375662917532,0.0035094696137593405,0.0031430795846392385
ENSG00000114626,ABTB1,0.5275107698068654,0.04789704954244332,0.042901190576861925
ENSG00000154122,ANKH,0.5274998957328817,0.11224721340520918,0.10054375454229833
