comparison,distance,ssr,scaling,p_value,significant_001,null_median,n_pca,obs_to_null_ratio,note
Human vs Mouse,12.427310325548715,154.4380419274897,1.0700838826393932,0.0034996500349965005,True,39.25758219423939,7,0.3165582196086514,cross-species
Human vs Human v1 (INVALID),12.617437803999254,159.1997367377895,0.9374124967393438,0.0034996500349965005,True,35.27099549483089,7,0.3577284288970066,"fetal-contaminated, invalid"
Human vs Human v2 (adult-only),24.008688408425147,576.4171190928481,0.7861362161811601,0.008799120087991202,True,39.576332731611004,7,0.6066425752795576,"adult-only, healthy, non-TS"
