,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,adventitial cell,basal cell,bladder urothelial cell,classical monocyte,endothelial cell,enterocyte of epithelium of large intestine,epithelial cell,fibroblast,fibroblast of cardiac tissue,granulocyte,hematopoietic precursor cell,hematopoietic stem cell,hepatocyte,intermediate monocyte,large intestine goblet cell,luminal epithelial cell of mammary gland,macrophage,mature NK T cell,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,monocyte,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic acinar cell,pancreatic ductal cell,plasma cell,smooth muscle cell,stromal cell
large intestine goblet cell,7.825172874902837e-05,0.0,0.00014954688894954117,0.000918882576988609,0.0,0.0,0.0,0.0,0.0,0.016946096270117457,0.015016749875021825,0.000651177218122653,0.00013812925501967082,0.0,0.0,0.00046405441793241273,0.0,0.0,0.9052619209992685,0.0003643111394725149,0.00036870606010961016,0.0,0.00016115819974029871,0.001182662965906758,0.00016397349740665933,0.0,0.0,0.0,0.0,0.0,0.0006605892482628798,0.0,0.0,0.0,0.0
luminal epithelial cell of mammary gland,0.0,0.0,0.0,0.0010312046265569961,0.0,0.05771443417959231,0.0,0.0,0.0,0.0,0.1562036276507785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750611607729076,0.0005369932256846924,0.0,0.001766420611564733,9.297255553444293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030967048615409,0.0,0.0,0.01183197196582781
macrophage,0.014235554820615708,0.0007416521294419619,0.0015487666185538891,0.001679348543057052,5.1670026398130926e-05,0.0,0.0,0.010851619299462895,0.002582996879919436,0.0,0.003831094404808202,0.018716865551970375,0.0003725012029241268,0.03893541328537767,0.0003684586483153068,9.751146830480776e-05,0.004012740240757536,0.01310014541773796,0.0,0.006320196306499028,0.40381819336252206,0.0008210061978391962,0.003739718017793876,0.004322926772669645,0.12937884311110046,0.01650956057022617,0.08958446429857878,0.0018635193858861708,0.002764037353623006,0.01097133750120502,0.00046485666586420355,0.0,0.08206890381100881,0.0028266570521417915,0.002223719661334926
mature NK T cell,0.0013799488540710354,0.03460627622423469,0.0694277720128268,0.1634880338376266,0.0,0.0,0.0,0.0,9.906392331744279e-05,0.0,0.013883759090008043,0.0001313648199820217,9.961539009646227e-05,0.0,0.06356067323363457,0.039719971558271915,0.0,0.0,0.00016305007923443954,0.0,0.0020023140398539654,0.053772050122294746,9.618884032494648e-05,0.0013324147278800328,0.005702227369031759,0.00017174882996543034,0.0010838190534974714,0.3849034027347848,0.0,0.0,0.0025333957969217768,0.0,8.774687090875452e-05,0.0016541005656340233,0.0
mesenchymal stem cell,0.00018374602942069712,8.80065925019795e-05,0.0005301091786096716,0.0,0.0049659085330053775,0.0010188641350598244,0.0002814269037641983,0.0,0.0038229883690897755,0.0,0.0017516461616613299,0.06525743289585609,0.014263812929781447,0.0,0.0001782199188179717,0.0,0.0,0.0,0.0,0.0,0.005753943311267785,0.0010400392712313737,0.584869118574236,0.11186465125559888,0.0009114645253535308,0.0,8.43452388045472e-05,0.0,0.0,0.0,0.0004569481083654211,0.0,0.0,0.00620213388487831,0.24384361101969287
mesenchymal stem cell of adipose tissue,0.00020258824542076004,0.0,0.00019877818452055626,0.00013287284954121708,0.01574290831318804,9.857247547305922e-05,9.674432286960001e-05,6.684881572548821e-05,7.839830180778629e-05,0.0,0.0021997999395360493,0.09644145711764904,0.03531058688946767,0.0,0.00033647615628037584,0.0,0.0,0.0,0.0,9.684897846402887e-05,0.0026806457588106547,0.0005407676602615526,0.17971162571275665,0.41567884107313774,0.0004676349793631328,0.0,0.0,0.0,0.0,0.0,0.00025231932328614577,0.0,0.0,0.007787546124972155,0.12774873129022246
monocyte,0.0007499222055572399,0.0005081176953230872,0.0020939942825629774,0.007750884565267309,0.0,0.0,0.0,0.16279185739887353,0.008227658275512407,0.0,0.008171167848151008,0.0005758298660814498,0.0,0.03462927722673077,0.000976622769884528,0.0011982507323380963,0.00273339450214627,0.07303885399886414,0.0,0.0017865943901040258,0.185187036391946,0.001352673878063122,0.00038725808343605757,0.0029422320635689326,0.26018821903979694,0.026890238895944274,0.12050918975320923,0.0013593366972794636,0.01414188266726476,0.031526331116673315,0.0038443702618194326,0.0,0.009470893939782479,0.0010940966832349954,9.668493188585562e-05
myeloid dendritic cell,0.021370051803529654,0.015717090878400227,0.01716441345613675,0.007284313545907725,0.0,4.412946466552065e-05,0.0,0.14590607885847665,0.00020523037265885764,0.0,0.010748123619706017,0.0,0.0,0.03681230543855089,0.011762916667834416,0.00034324798271978394,0.0,0.016269061713397447,0.0,0.0007887588833449786,0.24113670468968668,0.006479542755263948,0.0,0.0007381251164956459,0.05778372452655748,0.7196928330764629,0.3008939892784698,0.018842770689936818,0.002597164980600836,0.002020670436307446,0.0004712631963490276,0.0,0.021072330918766258,0.0,0.0
myeloid leukocyte,0.000690526349736359,0.00018496554024454603,0.0020097265888563555,0.001648663356828644,0.0002813292831621661,0.0,0.0,0.008180123111149852,0.002433858051455381,0.0,0.007943622893003679,0.00035686382396466745,0.0,0.039550075112970595,0.0005155448802764961,0.0,0.0,0.0014177722631089787,0.0,0.0015677583436725154,0.3954561356570575,0.0004727072597081154,0.0009197727733403717,0.000926172736106049,0.14297227353467173,0.03903833356467379,0.0803982469414731,0.0003477616134036684,0.0025432193336916006,0.007461934937915296,0.0,0.0,0.019462738931005908,0.0,0.0006179110842350041
natural killer cell,0.00010193805262988058,0.04182028673279951,0.04008549658884598,0.03825470140648212,0.0,0.0,0.0,0.0,0.0,0.0,0.008673238904067234,0.0,0.0,0.0009716131652902306,0.0397421154641283,0.004412922968779596,0.0,0.0,0.0,0.0,0.00014770786671706185,0.03713851757125271,0.0,0.0,0.0,0.0,0.0001445927849223518,0.6332566466791004,0.0021602785949480625,0.0,0.0,0.0,0.0,0.0,0.0
neutrophil,0.0003619120346513813,0.00026196927519483006,0.0,0.0,0.0,0.0,0.0,0.01134549190547596,0.0019491235980141418,0.0,0.002478602691462263,0.0,0.0,0.6907780051358605,0.02636669040332946,0.0061258791845340225,0.0,0.002696506072723743,0.0,0.0,0.019957801280785014,0.0,0.0007459845637419255,0.0004341995480814182,0.006109028923103091,0.0006884743855082453,0.005879884628848595,0.04931664002826842,0.8647251177327911,0.0,0.0005479562754843964,0.0,0.030774632640300965,0.0,0.0005545168549144033
non-classical monocyte,0.002892321732830181,0.0006289461081244484,0.000809257752631838,0.0001511641249554336,0.0,0.0,0.0,0.07587631510049592,0.01853526953165014,0.0,0.0034818317213172597,0.0,0.0,0.0034398818715106554,0.0007345835760005932,8.693636082174031e-05,0.0,0.44716386303789246,0.0,0.0,0.07095365810146134,0.0012040339184050826,0.0,0.0006637877636686883,0.12162413622699186,0.0255253527481967,0.13892913209224494,0.00036081316719171965,0.003816804742267589,0.8863127033326965,0.0005661957367072141,0.0,0.032338200948644744,0.002727324830330706,0.0
pancreatic acinar cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005112152051211096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9263945768697177,0.17009914458647335,0.0,0.0,0.0
pancreatic ductal cell,0.00017964613039524573,0.0,0.0,0.0,0.0,0.0,0.0010638344059148042,0.0,0.001504939936223358,0.0,0.0342290242080153,0.0,0.0,0.0,0.0,0.0,0.0018330062977352742,0.0,0.0,0.0013633386705563268,0.0,0.0,0.0,0.0007554937865808866,0.0020445635778849076,0.0,0.0,0.0,0.0,0.0,0.024423140286915435,0.8716476680806207,0.0,0.0,0.0
plasma cell,0.06967531988144095,0.003541228830214416,0.001304521981182573,0.006744251489416028,3.7605555591643496e-05,0.0,0.0,0.002858303886468265,0.000628097832123669,0.001666491123363942,0.023924862802663954,0.0007477149967638102,0.0,0.00026957604682884093,0.008509252202976662,0.10609410458663919,0.0,0.00015555917917302016,0.00016029899523283176,0.0,0.01179331552559866,0.0009098699172212669,0.000309042801778937,0.004016758653139351,0.013457507748757733,0.0012515675360488762,0.01379606303857187,0.002186610837108841,0.0,0.0,0.007921577405384218,0.0,0.6441104452426833,0.0,0.0003045533909317494
smooth muscle cell,0.0003541830174255849,0.0,0.0,0.0,0.002355833162776182,0.0020878464538575383,0.0,0.0,0.03115087844695944,0.0,0.010282699024013372,0.007861810911295645,0.012239486877266153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001339484432672557,0.0,0.003425895532428745,0.0014768355477482078,0.0006973009828969607,0.0,0.0,0.0,0.0,0.0,0.0005157054442569374,0.0,0.0,0.836912932546136,0.03880484575918819
stromal cell,0.004877317959300745,0.001400804479819706,0.0,0.00017377557973286868,0.034780750907854145,0.0,0.0017197483820715989,0.000498285086787871,0.0023371966140815054,0.0,0.0393186808485574,0.07047405682880728,0.012491503186271704,0.0002416906816925531,0.007547783494769357,0.00016443266946071096,0.0,0.0,0.0,0.0003312536518300108,0.002209048703192252,0.0,0.009778697732966869,0.05784046865982303,0.020114695390075127,0.0004909968847172802,0.0006040078003758535,0.0,0.0,0.0,0.012886059327331379,0.0,0.0005531784399181348,0.002790601687463709,0.006900483320719528
