Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Embryonic Brain Development (GO:1990403),1/5,0.0049904406959516,0.0156842421872766,0,0,262.8421052631579,1393.123889480945,RPL10
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),1/8,0.0079733565142536,0.0241950128708385,0,0,150.17293233082708,725.5830081396662,RPS27A
GO_Biological_Process_2023,Negative Regulation Of RNA Metabolic Process (GO:0051253),1/11,0.0109477797028559,0.0321134871283775,0,0,105.10526315789474,474.5101770765117,RPS13
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),1/17,0.0168712348172723,0.0470605419511666,0,0,65.67105263157895,268.0787715603985,RPS14
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),2/202,0.0171129243458787,0.0470605419511666,0,0,10.988888888888887,44.701935078328205,RPL5;RPL10
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),2/208,0.0180825224086337,0.0482200597563566,0,0,10.665587918015104,42.798971667221224,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of RNA Splicing (GO:0033119),1/19,0.0188382206720142,0.048757747621684,0,0,58.36842105263158,231.8316321803268,RPS13
GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),1/24,0.0237393438664972,0.0596874931500502,0,0,45.66819221967963,170.827422984315,RPS23
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),1/27,0.0266688455361458,0.0651905113105787,0,0,40.392712550607285,146.39366123411943,RPS2
GO_Biological_Process_2023,TOR Signaling (GO:0031929),1/29,0.0286172054274548,0.0680625426382709,0,0,37.50375939849624,133.2788782141628,RPS6
GO_Biological_Process_2023,Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),1/32,0.0315328000758389,0.071150933504457,0,0,33.869269949066215,117.07681999296598,RPS2
GO_Biological_Process_2023,Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032435),1/32,0.0315328000758389,0.071150933504457,0,0,33.869269949066215,117.07681999296598,RPL11
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),2/297,0.0350191918236849,0.0770422220121068,0,0,7.414312617702448,24.851730698558228,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of Proteasomal Protein Catabolic Process (GO:1901799),1/39,0.0383035595748703,0.0822125181119168,0,0,27.62049861495845,90.10393439678076,RPL11
GO_Biological_Process_2023,Regulation Of Amide Metabolic Process (GO:0034248),1/41,0.0402297877766736,0.0842909839130305,0,0,26.23684210526316,84.30284540999916,RPL10
GO_Biological_Process_2023,Bone Development (GO:0060348),1/44,0.0431122594296053,0.0882297402280296,0,0,24.402692778457773,76.72079424655034,RPL13
GO_Biological_Process_2023,Erythrocyte Differentiation (GO:0030218),1/49,0.0478981120694178,0.0957962241388357,0,0,21.855263157894736,66.41113333547993,RPS14
