iteration,n_types,n_pca,distance,null_median,obs_to_null_ratio,p_value,significant_001
0,35,20,3.238136414020381,117.27353592824986,0.027611825535827056,9.999000099990002e-05,True
1,35,20,3.7927286965417135,117.47672056583377,0.03228493848205674,9.999000099990002e-05,True
2,35,20,5.876938248143921,117.0523968989458,0.05020775655895048,9.999000099990002e-05,True
3,35,20,3.1910288808782363,117.1591942299342,0.027236691937429933,9.999000099990002e-05,True
4,35,20,4.392231003771365,117.26385903806518,0.03745596503305931,9.999000099990002e-05,True
5,35,20,3.8845615277186205,117.48850023840194,0.03306333402704314,9.999000099990002e-05,True
6,35,20,3.9803865977205604,117.03621939675722,0.03400986992092507,9.999000099990002e-05,True
7,35,20,4.090619145769434,117.45143819701441,0.03482817416767415,9.999000099990002e-05,True
8,35,20,3.353941198960014,117.38643815077916,0.028571794593954567,9.999000099990002e-05,True
9,35,20,3.344503315542877,117.22873144663025,0.028529723680115922,9.999000099990002e-05,True
10,35,20,3.858043628343191,117.2846274626259,0.03289470846955285,9.999000099990002e-05,True
11,35,20,4.194562473646243,117.21325581453098,0.03578573468075477,9.999000099990002e-05,True
12,35,20,3.714104222983187,117.21114792635868,0.03168729501153492,9.999000099990002e-05,True
13,35,20,3.9972681168941593,116.96651354339858,0.03417446580051338,9.999000099990002e-05,True
14,35,20,3.5857562541207257,117.16272157355506,0.030604924552470204,9.999000099990002e-05,True
15,35,20,3.558685044513643,117.28984624442373,0.03034094730670544,9.999000099990002e-05,True
16,35,20,4.015673992039642,117.27025712478638,0.03424290259521299,9.999000099990002e-05,True
17,35,20,2.9797706005359172,117.20632415451261,0.025423291977041254,9.999000099990002e-05,True
18,35,20,3.4812723491384334,117.39418012805285,0.029654556514991482,9.999000099990002e-05,True
19,35,20,4.628941821734088,117.48918812061116,0.039398874873338506,9.999000099990002e-05,True
20,35,20,5.046120913265236,117.28936868480832,0.04302283292892193,9.999000099990002e-05,True
21,35,20,3.645230988154643,117.0653505620026,0.031138427986203993,9.999000099990002e-05,True
22,35,20,3.445514927766214,117.05294429938317,0.02943552550847173,9.999000099990002e-05,True
23,35,20,3.9129748456313806,117.3065082791527,0.03335684356335735,9.999000099990002e-05,True
24,35,20,3.541418182101254,117.31349708527259,0.030187644815728876,9.999000099990002e-05,True
25,35,20,3.754025173576113,117.02708660735905,0.03207825882371447,9.999000099990002e-05,True
26,35,20,4.363909053243991,117.31667591312666,0.037197687534852066,9.999000099990002e-05,True
27,35,20,3.8641341647823477,117.18866591046094,0.03297361681491258,9.999000099990002e-05,True
28,35,20,3.550306562557752,117.43928329829039,0.030230996501742404,9.999000099990002e-05,True
29,35,20,4.945711928397211,117.526012616086,0.04208184910138168,9.999000099990002e-05,True
30,35,20,3.3882829311357865,117.2696714133798,0.0288930879595626,9.999000099990002e-05,True
31,35,20,3.825820251592122,117.28811551118551,0.03261899327922326,9.999000099990002e-05,True
32,35,20,3.829238887644043,117.26803285000076,0.03265373175093742,9.999000099990002e-05,True
33,35,20,3.741878487884231,117.33022179245845,0.031891855574117264,9.999000099990002e-05,True
34,35,20,4.130062059086518,117.25962864426066,0.035221517472276816,9.999000099990002e-05,True
35,35,20,3.8691643214400497,117.11830244274297,0.03303637638815346,9.999000099990002e-05,True
36,35,20,3.8291567731674756,117.49821205500362,0.03258906417550387,9.999000099990002e-05,True
37,35,20,3.588553250120749,117.28106233005444,0.03059789175529276,9.999000099990002e-05,True
38,35,20,4.2059792620497385,117.38894561343706,0.03582943215028159,9.999000099990002e-05,True
39,35,20,3.6687795746273215,117.52875599052345,0.03121601640132345,9.999000099990002e-05,True
40,35,20,3.7534066621145197,117.42043835077502,0.03196553099982313,9.999000099990002e-05,True
41,35,20,3.8930709214211143,117.33813837088022,0.03317822300125444,9.999000099990002e-05,True
42,35,20,4.287888221529112,116.99106825078954,0.036651415237420694,9.999000099990002e-05,True
43,35,20,4.613081418904264,117.13374821786243,0.03938302572136753,9.999000099990002e-05,True
44,35,20,3.8181559330274957,117.32755317192868,0.03254270484472195,9.999000099990002e-05,True
45,35,20,3.680205289511181,117.26799597316068,0.03138286161514584,9.999000099990002e-05,True
46,35,20,3.8680938073529902,117.45112848050344,0.0329336453161034,9.999000099990002e-05,True
47,35,20,3.6405557199341487,117.09565791564025,0.03109044165033797,9.999000099990002e-05,True
48,35,20,3.659769718142195,117.16201411945764,0.03123682829838276,9.999000099990002e-05,True
49,35,20,3.6320337292925835,117.22312337705777,0.030983935802579236,9.999000099990002e-05,True
