k,metric,rho,p,q_fdr
1,pre,0.21400560224089635,0.21703301859495067,0.32554952789242597
1,post,-0.3532212885154062,0.03739557539589132,0.22437345237534792
3,pre,-0.2658263305322129,0.1227204596579776,0.32554952789242597
3,post,-0.08963585434173671,0.6086042348066975,0.6086042348066975
5,pre,-0.17815126050420171,0.3058824600624293,0.3670589520749152
5,post,-0.21624649859943978,0.21214244591325337,0.32554952789242597
