cell_type,pearson_r,pearson_p,cosine_sim,l2_distance,human_top1_frac,mouse_top1_frac,human_norm,mouse_norm
fibroblast,0.8848478762299314,0.0006679667869272679,0.8797248564820221,0.39445135712361873,0.369584274408932,0.7274775599490002,"[0.369584274408932, 0.20923684162805717, 0.14040808351810705, 0.1260212394057404, 0.05300115137355656, 0.03047477562175222, 0.025790794521577225, 0.018261157045861755, 0.015190216480108126, 0.012031465996307606]","[0.7274775599490002, 0.09782885626188162, 0.06638425477128242, 0.03654682536465175, 0.021080522348551445, 0.016098535621135193, 0.011215148125230499, 0.00938072028058247, 0.007380084003268268, 0.0066074932744161355]"
fibroblast of cardiac tissue,0.9889334335513853,6.475160442106916e-08,0.9875229683337426,0.15424668671425287,0.5760126895208386,0.7136153761187347,"[0.5760126895208386, 0.20643397077292666, 0.07954140761104225, 0.04170602622260351, 0.0333008697671133, 0.02439787028978066, 0.012207263025492372, 0.0114511153193068, 0.00849311604417429, 0.006455671426721572]","[0.7136153761187347, 0.15086333037260546, 0.044595887526751504, 0.02446257112777364, 0.02125256687233455, 0.015298006163491702, 0.011064166795974375, 0.007644407289761351, 0.006356842364109554, 0.0048468453684632675]"
granulocyte,0.973456105951124,2.1034657843294435e-06,0.9739665022225308,0.19251892464154538,0.6799324338194338,0.5136231793260464,"[0.6799324338194338, 0.17981680827872532, 0.06458593148342834, 0.03607715357191983, 0.014321418829795363, 0.006837697673828747, 0.006441069319697113, 0.005394490388251907, 0.0038474536764625976, 0.002745542958456924]","[0.5136231793260464, 0.2214276094092959, 0.1454287508950358, 0.06935459767282778, 0.015198410719655496, 0.011600788456704534, 0.007810091913047409, 0.006135769865824588, 0.004770642265409994, 0.0046501594761521065]"
hematopoietic precursor cell,0.954208327480321,1.8199407798642653e-05,0.9599817466965898,0.21461541680892166,0.4960937988804685,0.6715569345010025,"[0.4960937988804685, 0.2414919204983299, 0.15091492856033453, 0.032413962919870136, 0.02854600377365778, 0.017921974050590202, 0.015014944518701922, 0.008574743101985393, 0.005315385457929894, 0.003712338238131912]","[0.6715569345010025, 0.15243705544821787, 0.06563150840337109, 0.032107808023230204, 0.022685671682185105, 0.015726848090972398, 0.01416246643181893, 0.009308268390247666, 0.00833728038673016, 0.008046158642224122]"
hematopoietic stem cell,0.9865599699364158,1.4046152917867235e-07,0.9899356814163162,0.08914307408228955,0.5713790349127603,0.5567900570435572,"[0.5713790349127603, 0.20463064068174386, 0.07832469677150064, 0.057498877732785315, 0.03335753670595217, 0.027683755488635407, 0.00924256336804392, 0.007117286263198985, 0.0056901878578786876, 0.005075420217500749]","[0.5567900570435572, 0.13053546799429774, 0.12078022156926316, 0.07280767243925683, 0.03769016352966755, 0.032809307086657344, 0.020045589813358862, 0.012369131297952718, 0.009571957095072563, 0.006600432130916016]"
hepatocyte,0.9735950807438903,2.060105316066937e-06,0.9733660015331367,0.22554355012385033,0.78464680804118,0.5909672172383418,"[0.78464680804118, 0.14163882868130537, 0.033250187251635206, 0.014146949877576094, 0.010822809646791647, 0.005659214389085081, 0.0034810678090695484, 0.002601477130909515, 0.0020073864407393373, 0.0017452707317082373]","[0.5909672172383418, 0.23872572400207126, 0.08973129362021655, 0.04068456559768127, 0.010879038432555046, 0.008372535599464565, 0.006750633201161714, 0.005882965173421528, 0.004218829459136445, 0.0037871976759497493]"
intermediate monocyte,0.872761320338282,0.0009807390917401745,0.9078229801763872,0.2543457988394495,0.35973209686048113,0.5627203874824456,"[0.35973209686048113, 0.29409961141199487, 0.11369082578488389, 0.08618347594499179, 0.05198945937624953, 0.02734558131826814, 0.023032212240355947, 0.018225551826550973, 0.015773104784541473, 0.009928080451682305]","[0.5627203874824456, 0.14466304421021747, 0.0961437003404054, 0.06142665957277102, 0.036929625497234504, 0.027084511314582733, 0.02353549874980402, 0.019745061814881837, 0.015398411876150703, 0.012353099141506533]"
large intestine goblet cell,0.9493457961579188,2.7089036977729612e-05,0.9476778135709262,0.24987775277021582,0.4026561688678751,0.6248506726672326,"[0.4026561688678751, 0.24047337642092417, 0.1504564302294666, 0.06825142761850617, 0.04501757772412785, 0.03337841735867583, 0.025154742355471812, 0.016330830960405, 0.010644192755841204, 0.007636835708706262]","[0.6248506726672326, 0.22265456591921307, 0.045695931937988134, 0.04113892484193891, 0.029507065654592893, 0.014571241288786743, 0.009145720930066482, 0.004918832977960072, 0.004168127836603585, 0.003348915945617624]"
luminal epithelial cell of mammary gland,0.9492754528865908,2.723748170875828e-05,0.9427055221403075,0.2753623669586789,0.4221349901227274,0.6716644912531559,"[0.4221349901227274, 0.17986019676314888, 0.14890028940677205, 0.09605586965264006, 0.045465665867717005, 0.03342592279532635, 0.024991544229508535, 0.02131259173958665, 0.016456168121987493, 0.01139676130058557]","[0.6716644912531559, 0.113965859488948, 0.06962974096099711, 0.047506896854271646, 0.03772335176632136, 0.01920879577267492, 0.015470895461643187, 0.00963669521221325, 0.008202539276156072, 0.006990733953618575]"
macrophage,0.9957697085780198,1.3939681855050382e-09,0.9970290107645458,0.040843659853573716,0.38764122860589545,0.3557808076569345,"[0.38764122860589545, 0.2251853565044334, 0.12451625103600324, 0.0843522024734497, 0.06125855493541137, 0.03662690833420713, 0.03384433432970647, 0.0215148740995173, 0.013330044390628265, 0.01173024529074773]","[0.3557808076569345, 0.23259695124308738, 0.1167085376406729, 0.09817156305770162, 0.07318846268058213, 0.045783932221504585, 0.02520313522132147, 0.018945207290160596, 0.01864926601660011, 0.014972136971434718]"
mature NK T cell,0.9762349187036958,1.3561126984243685e-06,0.9799463365966167,0.13048891044515618,0.4264451751253655,0.5396487566762463,"[0.4264451751253655, 0.22878352646233943, 0.1270925451530549, 0.07401563202805615, 0.04814127017742862, 0.03275444596279895, 0.021916404044998117, 0.01807711947491328, 0.01174918814148526, 0.01102469342955971]","[0.5396487566762463, 0.1788351715371954, 0.08843658494120593, 0.06341216554762803, 0.03971652024085342, 0.027812723904838133, 0.0227152024386985, 0.01518541089152907, 0.014106068477949067, 0.010131395343856093]"
mesenchymal stem cell,0.9844463978621044,2.512887208223135e-07,0.9858192328368784,0.10475840086432751,0.4708569976114143,0.37493748429822127,"[0.4708569976114143, 0.2072166922427591, 0.10648780914308055, 0.08020571380022845, 0.052994031660861585, 0.03566816628439108, 0.017046057938384138, 0.01176143827810373, 0.009646017303753385, 0.008117075737023778]","[0.37493748429822127, 0.22329867702106548, 0.1382297256917512, 0.09273728990951552, 0.06664182394520043, 0.033949308039801535, 0.02612185217745173, 0.018532905482939073, 0.014719952534815495, 0.010830980899238233]"
mesenchymal stem cell of adipose tissue,0.9985440359566873,1.9625542610297335e-11,0.9977795672559795,0.07187373250669951,0.604547449821748,0.6692969514811141,"[0.604547449821748, 0.15302331449939968, 0.08082595583415271, 0.049518930188646296, 0.03536541510833984, 0.025158556846296747, 0.02075895078249048, 0.011832838168667226, 0.010329544982203297, 0.008639043768055597]","[0.6692969514811141, 0.14680441599167057, 0.054475830129717774, 0.03950099980200362, 0.027612567641974603, 0.018723037125490713, 0.014653226251036136, 0.011248337192661568, 0.009640845094334317, 0.008043789289996599]"
monocyte,0.7906996297722981,0.0064654444006748135,0.8124054572390658,0.4796960257552197,0.34848415743460676,0.7716244842145927,"[0.34848415743460676, 0.2563706991442383, 0.19776545934276088, 0.09002114942232586, 0.03433308844583232, 0.022544736393059553, 0.01671459844681892, 0.013168752075612486, 0.011713600893790881, 0.008883758400954025]","[0.7716244842145927, 0.11819357452891818, 0.03293538947090854, 0.0255042837249164, 0.015899265603028984, 0.012378298347206204, 0.007359466756489364, 0.006727527861096369, 0.005350482809459778, 0.004027226683383589]"
myeloid dendritic cell,0.9323521739701351,8.43907501358044e-05,0.9380551224401279,0.27643838171392476,0.44635873948592325,0.6888961456498475,"[0.44635873948592325, 0.28912434616468163, 0.10556381120492372, 0.04618679337701106, 0.039696474588346076, 0.02518609792463524, 0.017116615203433477, 0.012481093428457666, 0.010912949843995863, 0.007373078778591874]","[0.6888961456498475, 0.17971000188484096, 0.036220542164553594, 0.03337558625708293, 0.018989215049063035, 0.014775837267396176, 0.00902477408658272, 0.008054307675504304, 0.006722328497550967, 0.0042312614675778125]"
myeloid leukocyte,0.9917967124461684,1.9617704422146354e-08,0.9936533282110693,0.07179244082328967,0.556109746448993,0.5071915471405793,"[0.556109746448993, 0.14128270876607993, 0.10367496005010314, 0.07023166779288101, 0.04671889300159976, 0.02611576711827658, 0.020353537631665034, 0.016703938322268068, 0.009571731529475125, 0.009237049338658312]","[0.5071915471405793, 0.17751183505145657, 0.13495480491317402, 0.05267936440220861, 0.03541991321463193, 0.029417369126452063, 0.024538031584640314, 0.017102999639935813, 0.01199326072452022, 0.009190874202401052]"
natural killer cell,0.994912095888222,2.9139337550337096e-09,0.9948104300924238,0.07496470123191679,0.4732333178481677,0.5396447610053172,"[0.4732333178481677, 0.1999986895772952, 0.12676248333750248, 0.08111368734600499, 0.04002701916860569, 0.0262144923016913, 0.020321374466828027, 0.01519913594301651, 0.009565143678735632, 0.007564656332152491]","[0.5396447610053172, 0.18855564129255117, 0.10953436718464302, 0.057366242658563014, 0.027090976645197967, 0.022852106178296305, 0.016855274627782385, 0.01586725981251261, 0.014705740339527765, 0.007527630255608561]"
neutrophil,0.8947430649076937,0.0004721096490595605,0.9225530098477415,0.2387263631576206,0.3836189785229043,0.5705168463686321,"[0.3836189785229043, 0.291224919895634, 0.14324055140546152, 0.09327387719932997, 0.03515296344143533, 0.016214412687601574, 0.012285616861398181, 0.0103305230728848, 0.008200625644146486, 0.006457531269203925]","[0.5705168463686321, 0.14752362319722165, 0.12177613154728512, 0.0629290534659422, 0.03351033984625573, 0.01795944125149783, 0.016064978734188485, 0.012051557266593498, 0.009285676634537872, 0.008382351687845511]"
non-classical monocyte,0.9321017129632079,8.56211184308863e-05,0.9400506519370772,0.2548002414609235,0.43003350136867663,0.6521138767467245,"[0.43003350136867663, 0.2879472905622747, 0.08335539918055092, 0.05469031806389093, 0.038149556211804325, 0.03241630964591152, 0.029885732527970096, 0.018868748246890252, 0.015152707731622882, 0.0095004364604079]","[0.6521138767467245, 0.17314898947155408, 0.048942329169169636, 0.02887172616547614, 0.023967614975022977, 0.019123523349990002, 0.01667187529294918, 0.016500513377306715, 0.011162630613040852, 0.009496920838765799]"
pancreatic acinar cell,0.9442361825700655,3.953901314386352e-05,0.9530895199367743,0.23713034177659512,0.5761006393382258,0.7393155274923712,"[0.5761006393382258, 0.29909873988117014, 0.04998419414332138, 0.02953935564959107, 0.019306981379724857, 0.008766461096297867, 0.006299604115823499, 0.004603979407110755, 0.003975876889039529, 0.002324168099695007]","[0.7393155274923712, 0.12732804351336457, 0.05397603519513152, 0.0231290626970864, 0.018518092034276467, 0.011930183907525352, 0.008974172308761708, 0.006652094921455208, 0.005970577717307613, 0.004206210212720009]"
pancreatic ductal cell,0.9788182056721797,8.585132777623045e-07,0.9838744781104828,0.1162388784516596,0.5998625423580732,0.5837901280706858,"[0.5998625423580732, 0.1784492521684921, 0.1041260338262874, 0.040515161495966956, 0.02740861785567751, 0.016628191954533054, 0.010591613122217874, 0.00909271880595599, 0.007313693177025732, 0.006012175235770033]","[0.5837901280706858, 0.2778321905196498, 0.047114830394002834, 0.0335510040585178, 0.021120525277510422, 0.015156095714240293, 0.008951019268049606, 0.005527712447523854, 0.0040377263138774, 0.0029187679359421186]"
plasma cell,0.9485434822128536,2.881821490463981e-05,0.9627017833708782,0.16469362833529058,0.49970092015350415,0.5760731569671497,"[0.49970092015350415, 0.2853867757528572, 0.06586329779934892, 0.0556668901638112, 0.03396043346129746, 0.016820959481696342, 0.013710593394069104, 0.010748521916505336, 0.010357355509893116, 0.007784252367017307]","[0.5760731569671497, 0.14563047915193875, 0.1052802711047175, 0.05587730123337687, 0.04233131215542372, 0.026969546597419968, 0.017436638707019305, 0.014703768286846351, 0.00888176501205918, 0.006815760784048488]"
smooth muscle cell,0.9839539478199186,2.844878465175736e-07,0.9896082705130803,0.07575524345757485,0.39959209509422833,0.3582329347363219,"[0.39959209509422833, 0.27678884140046905, 0.10463782571482592, 0.08095450004573275, 0.04440415674800778, 0.0365064417924943, 0.02162301260292265, 0.016759737432432375, 0.010335554512199084, 0.008397834656687808]","[0.3582329347363219, 0.25722797421648974, 0.1639578881494159, 0.08173525008295848, 0.05436070204360069, 0.033601968231851166, 0.018018243935426153, 0.01593439606841779, 0.01071882294300938, 0.006211819592508951]"
stromal cell,0.9848649677478558,2.2542487068386433e-07,0.9850929722094603,0.12972445581088937,0.5873136726974226,0.47172457668333373,"[0.5873136726974226, 0.16282525412300455, 0.09968016102183928, 0.05450237825601, 0.03354406984457393, 0.022985563804062942, 0.01744226072178388, 0.008450364388209548, 0.00761184022815155, 0.005644434914941608]","[0.47172457668333373, 0.21040334656497828, 0.11674457003542671, 0.08052809872827385, 0.047663250667373994, 0.023774477988119963, 0.022401933369459, 0.011165358623807879, 0.008184375962903714, 0.0074100113763229235]"
