k,metric,rho,p,q_fdr
1,pre,0.08571428571428573,0.8717434402332361,0.8717434402332361
1,post,-0.6,0.208,0.624
3,pre,-0.6571428571428573,0.1561749271137024,0.624
3,post,-0.14285714285714288,0.7871720116618076,0.8717434402332361
5,pre,0.2571428571428572,0.6227871720116619,0.8717434402332361
5,post,-0.14285714285714288,0.7871720116618076,0.8717434402332361
