cell_type,term,adjusted_p_value,overlap,genes,combined_score
endothelial cell,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.0078334152122014,3/134,CD79B;CD79A;MS4A1,216.15817338090815
hepatocyte,Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),0.0004743107753704491,3/24,FGB;FGG;APOA1,2227.4271785014485
hepatocyte,Cell-Matrix Adhesion (GO:0007160),0.0004743107753704491,4/109,FGB;FGL1;FGG;ADAMTS9,590.8346677553203
hepatocyte,Platelet Aggregation (GO:0070527),0.0004743107753704491,3/35,FGB;FGL1;FGG,1332.6062162903231
hepatocyte,Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),0.0004743107753704491,3/35,FGB;FGG;APOA1,1332.6062162903231
hepatocyte,Triglyceride Metabolic Process (GO:0006641),0.0007282680179366451,3/45,CPS1;APOC3;APOB,950.5169232720672
hepatocyte,Homotypic Cell-Cell Adhesion (GO:0034109),0.0007282680179366451,3/46,FGB;FGL1;FGG,922.8993354216932
hepatocyte,Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),0.0007469342493673367,3/51,FGB;FGG;APOA1,803.6209136419842
hepatocyte,Cholesterol Transport (GO:0030301),0.0007469342493673367,3/51,APOC3;APOA1;APOB,803.6209136419842
hepatocyte,Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),0.000764663862561032,2/7,APOA1;APOC3,4805.225245888672
hepatocyte,Positive Regulation Of Peptide Secretion (GO:0002793),0.0008336807169995796,2/8,FGB;FGG,3897.964407357134
macrophage,Microglial Cell Activation (GO:0001774),0.0002622746669282403,3/20,C1QA;GRN;TYROBP,2870.5109211031295
macrophage,Positive Regulation Of Neuron Death (GO:1901216),0.0005158630960303665,3/34,C1QA;GRN;TYROBP,1385.7666714337506
macrophage,Cell Junction Disassembly (GO:0150146),0.0005158630960303665,2/5,C1QB;C1QC,8557.579526684436
macrophage,Glycolipid Transport (GO:0046836),0.0005158630960303665,2/5,NPC2;PSAP,8557.579526684436
macrophage,Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),0.0005158630960303665,2/5,C1QB;C1QC,8557.579526684436
macrophage,Synapse Pruning (GO:0098883),0.0012015282780649,2/8,C1QB;C1QC,3897.964407357134
macrophage,Macrophage Activation Involved In Immune Response (GO:0002281),0.0017669363383544,2/11,GRN;TYROBP,2432.2381677726335
macrophage,Neutrophil Activation Involved In Immune Response (GO:0002283),0.0017669363383544,2/11,FCER1G;TYROBP,2432.2381677726335
macrophage,Astrocyte Activation (GO:0048143),0.0018836046850472,2/12,C1QA;GRN,2148.58238291385
macrophage,B Cell Activation (GO:0042113),0.0027596465941811,3/92,CD79A;BANK1;MS4A1,362.68679987613535
