Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Macrophage Activation (GO:0042116),2/35,0.0005541829397838258,0.0070750688645735,0,0,67.16161616161617,503.57885305588366,C1QA;AIF1
GO_Biological_Process_2023,Regulation Of Chemokine Production (GO:0032642),2/41,0.0007610076105649785,0.0094021262853673,0,0,56.81196581196581,407.9591818331578,CD74;AIF1
GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),2/44,0.0008763666329947344,0.0101711642556661,0,0,52.74603174603175,371.31761233322095,CD74;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),2/44,0.0008763666329947344,0.0101711642556661,0,0,52.74603174603175,371.31761233322095,CD74;RBM47
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),2/46,0.0009576675617417908,0.0104796193184887,0,0,50.343434343434346,349.9377081556704,CD74;FTH1
GO_Biological_Process_2023,Vacuolar Transport (GO:0007034),2/46,0.0009576675617417908,0.0104796193184887,0,0,50.343434343434346,349.9377081556704,GRN;PSAP
GO_Biological_Process_2023,Positive Regulation Of Cell Death (GO:0010942),2/50,0.0011307590059983,0.0120300194249266,0,0,46.138888888888886,313.0461870363529,C1QA;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Chemokine Production (GO:0032722),2/53,0.0012697052431465,0.0131431650844627,0,0,43.41830065359477,289.55536610866125,CD74;AIF1
GO_Biological_Process_2023,Regulation Of Lipid Metabolic Process (GO:0019216),2/54,0.0013177506939226,0.0132815398887466,0,0,42.58119658119658,282.3912150075315,NPC2;PSAP
GO_Biological_Process_2023,Regulation Of Neuron Death (GO:1901214),2/58,0.0015185400416673,0.0149128419476565,0,0,39.53174603174603,256.5612651652447,C1QA;TYROBP
GO_Biological_Process_2023,Phagocytosis (GO:0006909),2/69,0.0021410236112441,0.0205003010776631,0,0,33.02321724709785,202.976255104392,TYROBP;AIF1
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),2/80,0.0028649802996968,0.0267631086532659,0,0,28.35042735042735,165.9972465923349,CD74;AIF1
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Migration (GO:0010595),2/85,0.0032270347482887,0.0294274835379662,0,0,26.635876840696117,152.78849293856263,GRN;ETS1
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),2/88,0.0034540449719347,0.0307386697566279,0,0,25.702842377260986,145.6890896619056,GRN;ETS1
GO_Biological_Process_2023,Cellular Response To Chemical Stress (GO:0062197),2/89,0.0035313354289598,0.0307386697566279,0,0,25.40613026819923,143.44502292528725,GPX1;AIF1
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),2/91,0.003688337741346,0.0313918523319006,0,0,24.83270911360799,139.12722450187454,GRN;GPX1
GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),2/94,0.0039298718288353,0.0326934118813942,0,0,24.019323671497585,133.04659989721253,CTSS;CTSB
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),2/95,0.0040119852700405,0.0326934118813942,0,0,23.759856630824373,131.11803417110073,GRN;ETS1
GO_Biological_Process_2023,Proteolysis (GO:0006508),3/330,0.0041203672346327,0.0328770968930067,0,0,10.60604425256341,58.2464115454299,CTSZ;CTSS;CTSB
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),5/1127,0.0042900642401565,0.0335325429383663,0,0,5.602495543672014,30.541744342313915,CD74;GPX1;TYROBP;AIF1;ETS1
GO_Biological_Process_2023,Positive Regulation Of Inflammatory Response (GO:0050729),2/104,0.0047867577714046,0.0353951627138793,0,0,21.65359477124183,115.67138059180392,GRN;ETS1
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),2/104,0.0047867577714046,0.0353951627138793,0,0,21.65359477124183,115.67138059180392,GRN;ETS1
GO_Biological_Process_2023,Lysosomal Transport (GO:0007041),2/105,0.0048767883644565,0.0353951627138793,0,0,21.442286947141316,114.14304848253492,GRN;PSAP
GO_Biological_Process_2023,Regulation Of Type 2 Immune Response (GO:0002828),1/5,0.0049904406959516,0.0353951627138793,0,0,262.8421052631579,1393.123889480945,CD74
GO_Biological_Process_2023,Regulation Of Neutrophil Activation (GO:1902563),1/5,0.0049904406959516,0.0353951627138793,0,0,262.8421052631579,1393.123889480945,GRN
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),3/379,0.0060572367055538,0.0362487759097989,0,0,9.2008760951189,46.98428824422069,FTH1;AIF1;ETS1
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),2/117,0.0060178380224682,0.0362487759097989,0,0,19.193236714975846,98.13554169918694,GPX1;AIF1
GO_Biological_Process_2023,Regulation Of Osteoclast Development (GO:2001204),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,TYROBP
GO_Biological_Process_2023,Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,CD74
GO_Biological_Process_2023,Intracellular Sequestering Of Iron Ion (GO:0006880),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,FTH1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class I (GO:0042590),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,FCER1G
GO_Biological_Process_2023,Interleukin-3-Mediated Signaling Pathway (GO:0038156),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,FCER1G
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta1 Production (GO:0032908),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,TYROBP
GO_Biological_Process_2023,Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),1/6,0.0059856908667451,0.0362487759097989,0,0,210.26315789473685,1076.2074808846232,CD74
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),3/364,0.005415845750439,0.0362487759097989,0,0,9.590516539025582,50.04740301015592,CD74;TYROBP;ETS1
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),2/119,0.0062188008026864,0.0366430878065988,0,0,18.863247863247864,95.82866034621068,GRN;ETS1
GO_Biological_Process_2023,Lipoxygenase Pathway (GO:0019372),1/7,0.0069799958941807,0.037129700381545,0,0,175.21052631578948,869.8689177892479,GPX1
