cell_type,macaque_residual,lemur_residual
B cell,7.023236960681487,6.220927165784162
"CD4-positive, alpha-beta T cell",7.016262930386929,5.160481788560844
"CD8-positive, alpha-beta T cell",4.154165806579923,2.9575405197899065
T cell,3.102917023242759,9.84419680800865
endothelial cell,3.378019137634471,9.235492164093724
fibroblast,7.179040324099165,2.3651016313633106
macrophage,6.024838968044975,3.605034361852422
natural killer cell,2.241668485254977,5.325170425156211
