,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",endothelial cell,hepatocyte,macrophage
B cell,0.9357087255067708,0.0184785198053558,3.479804245496992e-05,0.00011162653256887284,7.637495384524417e-05,0.04825805596685887
"CD4-positive, alpha-beta T cell",0.0035001917862709023,0.5910306098174257,0.27893973555318313,0.0009028482456165915,0.0008937643189782027,0.02435824658102236
"CD8-positive, alpha-beta T cell",0.0014122141537649892,0.2891510580798568,0.5938361012860975,0.0011346660847874434,0.002509998545189517,0.03608929272782035
endothelial cell,0.0022203594757113326,0.0005094651635124259,5.322690180829374e-05,0.8705159334199474,0.006230782919519251,0.020413130225871476
hepatocyte,0.0014692293169834328,0.0025841977190906784,0.002368939065639931,0.004282557643413367,0.6487988170022476,0.003927082405701617
macrophage,0.009168787610130326,0.004709171115392769,0.002188515754062817,0.006950658371646881,0.0024030006606443905,0.8123746669134739
