overlap,fg_not_in_set,bg_in_set,bg_not_in_set,odds_ratio,p_value,fg_size,gene_set_size,gene_set,category,q_value
7,193,268,16489,2.231517284046091,0.04487807473307185,200,275,ECM_Organization,niche,0.30911858885731247
3,197,77,16680,3.2988331465488825,0.06869301974606944,200,80,Integrin_Interactions,niche,0.30911858885731247
8,192,401,16356,1.699501246882793,0.11180019472984598,200,409,Interleukin_Signaling,niche,0.33540058418953794
2,198,178,16579,0.9408126205879015,0.6294753836054195,200,180,Myc_Targets_V1,neg_control,1.0
1,199,106,16651,0.789371385228027,0.720156747344447,200,107,Bile_Acid_Metabolism,diff_output,1.0
4,196,433,16324,0.7693830419003629,0.7613328259822848,200,437,Growth_Factor_Receptors,niche,1.0
0,200,191,16566,0.0,1.0,200,191,Inflammatory_Response,niche,1.0
0,200,52,16705,0.0,1.0,200,52,TGF_beta_Signaling,niche,1.0
0,200,188,16569,0.0,1.0,200,188,Oxidative_Phosphorylation,diff_output,1.0
