gene_set,n_genes_in_universe,mean_specificity,sem,std,genome_mean,delta,t_stat,t_pval,category
ECM_Organization,275,0.599403572485412,0.00592294320478883,0.09822090132434848,0.5739441830249107,0.025459389460501303,4.298435521028941,2.3929237959980443e-05,niche
Integrin_Interactions,80,0.5927014899607388,0.011783081667684535,0.10539108637349684,0.5739441830249107,0.01875730693582811,1.5918846584311304,0.11540440227683049,niche
Bile_Acid_Metabolism,107,0.5803577293775868,0.010098202436578637,0.10445661823055126,0.5739441830249107,0.006413546352676103,0.6351176254344402,0.5267203154151247,diff_output
TGF_beta_Signaling,52,0.5587677665402386,0.012953972978655278,0.09341242759103317,0.5739441830249107,-0.01517641648467205,-1.1715646242028428,0.24681627603415734,niche
Growth_Factor_Receptors,437,0.5573304689062746,0.004776005449748391,0.09984022065522245,0.5739441830249107,-0.016613714118636103,-3.47857938887221,0.0005547507292261569,niche
Interleukin_Signaling,409,0.5513135692192017,0.005428405070913428,0.10978269845514235,0.5739441830249107,-0.022630613805708966,-4.168925036005272,3.739602704132811e-05,niche
Inflammatory_Response,191,0.5510726868065403,0.008470253821626098,0.11706123680505584,0.5739441830249107,-0.02287149621837037,-2.7002137952436893,0.007555183270471007,niche
Myc_Targets_V1,180,0.5478437711536421,0.008538120724075265,0.11455091003479212,0.5739441830249107,-0.026100411871268547,-3.0569270117804987,0.0025789112578034827,neg_control
Oxidative_Phosphorylation,188,0.5123871424940649,0.007263571778887008,0.09959307856253982,0.5739441830249107,-0.061557040530845764,-8.474761784522231,6.91295045210275e-15,diff_output
