compound_name,dili_class,matched_name,match_type
Glimepiride,less-concern,glimepiride,base
Glipizide,less-concern,glipizide,base
Glycopyrrolate,no-concern,glycopyrrolate,base
Goserelin acetate,ambiguous,goserelin,base
Granisetron hydrochloride,ambiguous,granisetron,base
Guanfacine hydrochloride,ambiguous,guanfacine,base
Haloperidol lactate,less-concern,haloperidol,base
Hydralazine hydrochloride,less-concern,hydralazine,base
Hydrocortisone acetate,no-concern,hydrocortisone,base
Iloperidone,ambiguous,iloperidone,base
Imatinib mesylate,most-concern,imatinib,base
Irbesartan,less-concern,irbesartan,base
Irinotecan hydrochloride,less-concern,irinotecan,base
Isocarboxazid,ambiguous,isocarboxazid,base
Isotretinoin,most-concern,isotretinoin,base
Isoxsuprine hydrochloride,no-concern,isoxsuprine,base
Itraconazole,most-concern,itraconazole,base
Ivermectin,less-concern,ivermectin,base
Ixazomib citrate,ambiguous,ixazomib,base
Ketoprofen,less-concern,ketoprofen,base
Ketorolac tromethamine,less-concern,ketorolac,base
Labetalol hydrochloride,most-concern,labetalol,base
Lamivudine,less-concern,lamivudine,base
Lamotrigine,most-concern,lamotrigine,base
Leflunomide,most-concern,leflunomide,base
Lenalidomide,less-concern,lenalidomide,base
Levonorgestrel,no-concern,levonorgestrel,base
Lidocaine,no-concern,lidocaine,base
Linezolid,less-concern,linezolid,base
Lofexidine hydrochloride,no-concern,lofexidine,base
Loperamide hydrochloride,no-concern,loperamide,base
Losartan potassium,less-concern,losartan,base
Lovastatin,less-concern,lovastatin,base
Loxapine succinate,ambiguous,loxapine,base
Maprotiline hydrochloride,ambiguous,maprotiline,base
Maraviroc,most-concern,maraviroc,base
Mebendazole,less-concern,mebendazole,base
Meclizine hydrochloride,no-concern,meclizine,base
Medroxyprogesterone acetate,ambiguous,medroxyprogesterone,base
Meloxicam,less-concern,meloxicam,base
Mepivacaine hydrochloride,less-concern,mepivacaine,base
Mesoridazine besylate,ambiguous,mesoridazine,base
Metaxalone,less-concern,metaxalone,base
Methocarbamol,ambiguous,methocarbamol,base
Methylprednisolone,less-concern,methylprednisolone,base
Methysergide maleate,no-concern,methysergide,base
Metoclopramide hydrochloride,less-concern,metoclopramide,base
Metolazone,ambiguous,metolazone,base
Metoprolol succinate,ambiguous,metoprolol,base
Metoprolol tartrate,less-concern,metoprolol,base
Mexiletine hydrochloride,most-concern,mexiletine,base
Midodrine hydrochloride,no-concern,midodrine,base
Midostaurin,ambiguous,midostaurin,base
Mifepristone,less-concern,mifepristone,base
Milrinone lactate,ambiguous,milrinone,base
Minoxidil,no-concern,minoxidil,base
Mirtazapine,less-concern,mirtazapine,base
Mitotane,no-concern,mitotane,base
Mitoxantrone hydrochloride,less-concern,mitoxantrone,base
Modafinil,less-concern,modafinil,base
Moexipril hydrochloride,ambiguous,moexipril,base
Moxifloxacin hydrochloride,less-concern,moxifloxacin,base
Nadolol,ambiguous,nadolol,base
Nafcillin sodium,less-concern,nafcillin,base
Nalbuphine hydrochloride,no-concern,nalbuphine,base
Naloxone hydrochloride,no-concern,naloxone,base
Naltrexone hydrochloride,ambiguous,naltrexone,base
Naproxen,less-concern,naproxen,base
Nateglinide,ambiguous,nateglinide,base
Nefazodone hydrochloride,most-concern,nefazodone,base
Nelfinavir mesylate,less-concern,nelfinavir,base
Neratinib maleate,ambiguous,neratinib,base
Niacin,most-concern,niacin,base
Nialamide,most-concern,nialamide,base
Nicardipine hydrochloride,ambiguous,nicardipine,base
Nifedipine,less-concern,nifedipine,base
Nifurtimox,no-concern,nifurtimox,base
Nilotinib hydrochloride,most-concern,nilotinib,base
Nilutamide,most-concern,nilutamide,base
Nimesulide,most-concern,nimesulide,base
Nimodipine,ambiguous,nimodipine,base
Nizatidine,less-concern,nizatidine,base
Nortriptyline hydrochloride,most-concern,nortriptyline,base
Omeprazole,less-concern,omeprazole,base
Ondansetron hydrochloride,less-concern,ondansetron,base
Orphenadrine hydrochloride,no-concern,orphenadrine,base
Oxaprozin,less-concern,oxaprozin,base
Paclitaxel,less-concern,paclitaxel,base
Palbociclib,less-concern,palbociclib,base
Palonosetron hydrochloride,ambiguous,palonosetron,base
Panobinostat lactate,ambiguous,panobinostat,base
Pantoprazole sodium,less-concern,pantoprazole,base
Papaverine hydrochloride,most-concern,papaverine,base
Paroxetine hydrochloride,less-concern,paroxetine,base
Pazopanib hydrochloride,most-concern,pazopanib,base
Pentoxifylline,ambiguous,pentoxifylline,base
Pergolide mesylate,ambiguous,pergolide,base
Perhexiline,most-concern,perhexiline,base
Perphenazine,less-concern,perphenazine,base
Phenelzine sulfate,less-concern,phenelzine,base
Phenoxybenzamine hydrochloride,no-concern,phenoxybenzamine,base
Phentolamine mesylate,no-concern,phentolamine,base
Pimozide,no-concern,pimozide,base
Pindolol,no-concern,pindolol,base
Pioglitazone hydrochloride,less-concern,pioglitazone,base
Pirfenidone,most-concern,pirfenidone,base
Piroxicam,less-concern,piroxicam,base
Pitavastatin calcium,ambiguous,pitavastatin,base
Pravastatin sodium,less-concern,pravastatin,base
Praziquantel,ambiguous,praziquantel,base
Prazosin hydrochloride,ambiguous,prazosin,base
Prednisolone,less-concern,prednisolone,base
Prednisone,less-concern,prednisone,base
Primaquine phosphate,no-concern,primaquine,base
Primidone,no-concern,primidone,base
Probenecid,ambiguous,probenecid,base
Procainamide hydrochloride,less-concern,procainamide,base
Procarbazine hydrochloride,less-concern,procarbazine,base
Prochlorperazine maleate,less-concern,prochlorperazine,base
Progesterone,less-concern,progesterone,base
Propafenone hydrochloride,less-concern,propafenone,base
Propofol,less-concern,propofol,base
Propranolol hydrochloride,ambiguous,propranolol,base
Protriptyline hydrochloride,no-concern,protriptyline,base
Pseudoephedrine hydrochloride,no-concern,pseudoephedrine,base
Pyrimethamine,less-concern,pyrimethamine,base
Quetiapine fumarate,less-concern,quetiapine,base
Quinapril hydrochloride,less-concern,quinapril,base
Quinidine gluconate,less-concern,quinidine,base
Quinine sulfate,less-concern,quinine,base
Raloxifene hydrochloride,less-concern,raloxifene,base
Raltegravir potassium,most-concern,raltegravir,base
Ranitidine hydrochloride,less-concern,ranitidine,base
Ranolazine,no-concern,ranolazine,base
Reserpine,no-concern,reserpine,base
Ribavirin,less-concern,ribavirin,base
Rifabutin,less-concern,rifabutin,base
Rifapentine,ambiguous,rifapentine,base
Riluzole,most-concern,riluzole,base
Risperidone,less-concern,risperidone,base
Rivaroxaban,less-concern,rivaroxaban,base
Rizatriptan benzoate,less-concern,rizatriptan,base
Ropinirole hydrochloride,less-concern,ropinirole,base
Rosiglitazone maleate,less-concern,rosiglitazone,base
Rosuvastatin calcium,less-concern,rosuvastatin,base
Ruxolitinib phosphate,ambiguous,ruxolitinib,base
Safinamide mesylate,no-concern,safinamide,base
Saquinavir mesylate,less-concern,saquinavir,base
Scopolamine,no-concern,scopolamine,base
Sertraline hydrochloride,less-concern,sertraline,base
Sildenafil citrate,less-concern,sildenafil,base
Simvastatin,less-concern,simvastatin,base
Sirolimus,less-concern,sirolimus,base
Sitagliptin phosphate,less-concern,sitagliptin,base
Sonidegib phosphate,ambiguous,sonidegib,base
Sorafenib tosylate,most-concern,sorafenib,base
Spironolactone,less-concern,spironolactone,base
Stiripentol,no-concern,stiripentol,base
suloctidil,most-concern,suloctidil,base
Sunitinib malate,most-concern,sunitinib,base
Tacrolimus,less-concern,tacrolimus,base
Tadalafil,less-concern,tadalafil,base
Tamoxifen citrate,most-concern,tamoxifen,base
Telmisartan,less-concern,telmisartan,base
Temozolomide,less-concern,temozolomide,base
Temsirolimus,no-concern,temsirolimus,base
Teniposide,less-concern,teniposide,base
Terazosin hydrochloride,no-concern,terazosin,base
Thalidomide,less-concern,thalidomide,base
Thioridazine hydrochloride,less-concern,thioridazine,base
Thiotepa,less-concern,thiotepa,base
Thiothixene,ambiguous,thiothixene,base
Ticlopidine hydrochloride,most-concern,ticlopidine,base
Tigecycline,most-concern,tigecycline,base
Timolol maleate,ambiguous,timolol,base
Tinidazole,less-concern,tinidazole,base
Tivozanib hydrochloride,ambiguous,tivozanib,base
Tofacitinib citrate,ambiguous,tofacitinib,base
Tolazamide,less-concern,tolazamide,base
Tolbutamide,ambiguous,tolbutamide,base
Tolmetin sodium,less-concern,tolmetin,base
Toremifene citrate,ambiguous,toremifene,base
Tramadol hydrochloride,less-concern,tramadol,base
Trazodone hydrochloride,less-concern,trazodone,base
Tretinoin,less-concern,tretinoin,base
Triamterene,less-concern,triamterene,base
Trifluoperazine hydrochloride,less-concern,trifluoperazine,base
Trimethobenzamide hydrochloride,ambiguous,trimethobenzamide,base
Trimipramine maleate,ambiguous,trimipramine,base
Troglitazone,most-concern,troglitazone,base
Valsartan,less-concern,valsartan,base
Vardenafil hydrochloride,ambiguous,vardenafil,base
Vecuronium bromide,no-concern,vecuronium,base
Vemurafenib,less-concern,vemurafenib,base
Venlafaxine hydrochloride,less-concern,venlafaxine,base
Verapamil hydrochloride,less-concern,verapamil,base
Verteporfin,ambiguous,verteporfin,base
Vinblastine sulfate,less-concern,vinblastine,base
Vincristine sulfate,less-concern,vincristine,base
Vinorelbine tartrate,ambiguous,vinorelbine,base
Voriconazole,most-concern,voriconazole,base
Vorinostat,no-concern,vorinostat,base
Warfarin sodium,less-concern,warfarin,base
Ziprasidone hydrochloride,less-concern,ziprasidone,base
Zolmitriptan,ambiguous,zolmitriptan,base
