drug_name,deformation,deformation_std,n_replicates
arg-a1-2,9221.069,683.0610074224089,2
arg-a1-22,12831.203,2457.0065671589514,3
arg-csc-18,13461.415,1337.2617279359065,3
arg-csc-22,13566.204,2612.241649859307,3
arg-csc-26,15111.547,3622.767478472187,3
arg-csc-81,17687.898,9169.696116751727,3
arg-csc-91,13399.484,3222.3931386600316,3
aristolochic-acid,13678.538,3272.0104197122682,6
arp-101,13854.247,3792.786488963113,6
artesunate,13512.989,3652.664121336647,3
arvanil,10335.38,1606.5809855310488,3
as-601245,14022.428,624.3897890010076,2
as-604850,10489.517,2409.6823989824725,3
as-605240,15403.195,4504.7879189152645,3
as-703026,12488.261,1898.481911674625,3
asiatic-acid,14092.11,3538.218795517568,6
at-7519,19478.451,5887.892314776286,3
at-9283,23445.662,2760.7727740586643,3
at-csc-07,16325.591,9886.123965284996,3
at-csc-18,16945.299,12329.056785051267,3
at-sumo-1,17451.32,4646.257639616024,3
at1-shh-09,19073.803,3520.6729977609166,18
at1-shh-29,17681.74,4108.907004807891,18
atomoxetine,17337.748,8891.387666263652,3
atorvastatin,17680.955,4091.9657025210254,9
auranofin,20026.826,2674.0769873451877,3
auraptene,10272.438,360.0248260128018,3
aurora-a-inhibitor-i,18649.13,14903.259904665161,3
austricine,10837.326,1031.6097738796404,3
ava,20561.713,3443.191227372095,3
avicin-d,24453.754,2480.1483339487013,4
avrainvillamide-analog-1,19518.658,1898.7410315821855,3
avrainvillamide-analog-2,27314.604,,1
avrainvillamide-analog-3,18747.486,1159.7462716294503,2
avrainvillamide-analog-4,21138.56,1068.911453903104,3
avrainvillamide-analog-5,25978.504,,1
avrainvillamide-analog-6,26881.209,6505.587941657967,3
axitinib,11131.617,155.2092544429335,3
ay-9944,12084.626,1326.4663820210164,3
az-10417808,10950.657,2169.090385521419,3
az-628,11949.789,3242.561843051482,3
azacyclonol,18242.438,5863.104500340107,3
azaperone,12784.101,3440.649496421859,5
azasetron,13692.913,5480.029543093447,3
azauridine,13079.682,464.1962668979204,2
