compound_name,dili_class,matched_name,drug_name,deformation,deformation_std,n_replicates
Trimipramine maleate,ambiguous,trimipramine,trimipramine,14473.23,5902.090913020567,6
Troglitazone,most-concern,troglitazone,troglitazone,14218.581,3936.5657220565477,3
Valsartan,less-concern,valsartan,valsartan,11553.922,395.43220402942666,2
Vardenafil hydrochloride,ambiguous,vardenafil,vardenafil,13811.06,3072.3870484348245,5
Vecuronium bromide,no-concern,vecuronium,vecuronium,11824.387,2256.5782896929377,6
Vemurafenib,less-concern,vemurafenib,vemurafenib,13077.093,2625.419409601542,6
Venlafaxine hydrochloride,less-concern,venlafaxine,venlafaxine,16123.903,4299.781748583424,5
Verapamil hydrochloride,less-concern,verapamil,verapamil,12477.308,3885.2349920480196,6
Verteporfin,ambiguous,verteporfin,verteporfin,16797.107,5591.98918864579,6
Vinblastine sulfate,less-concern,vinblastine,vinblastine,19913.268,7208.255391367301,11
Vincristine sulfate,less-concern,vincristine,vincristine,12254.488,1932.544464889607,4
Vinorelbine tartrate,ambiguous,vinorelbine,vinorelbine,11494.386,1525.1239730123652,6
Voriconazole,most-concern,voriconazole,voriconazole,15422.872,4434.986007862569,3
Vorinostat,no-concern,vorinostat,vorinostat,16924.938,5156.348517838385,43
Warfarin sodium,less-concern,warfarin,warfarin,10590.763,2588.796470249743,3
Ziprasidone hydrochloride,less-concern,ziprasidone,ziprasidone,9497.108,1585.9604379755403,3
Zolmitriptan,ambiguous,zolmitriptan,zolmitriptan,12802.853,1048.4474976647873,5
